Data;s_1001;s_1002;s_1003;s_1004;s_1005;s_1006;s_1007;s_1008;s_1009;s_1010;s_1011;s_1012;s_1013;s_1014;s_1015;s_1016;s_1018;s_1019;s_1020;s_1021;s_1022;s_1028;s_1029;s_1030;s_1031;s_1032;s_1033;s_1034;s_1035;s_1036;s_1037
jan/91;NA;NA;NA;NA;NA;NA;NA;NA;72,60196396;43,15825819;55,56936266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/91;NA;NA;NA;NA;NA;NA;NA;NA;73,54882906;41,15548946;55,638652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/91;NA;NA;NA;NA;NA;NA;NA;NA;75,23760392;42,5550422;57,9540245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/91;NA;NA;NA;NA;NA;NA;NA;NA;76,57426203;49,14382003;61,50566538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/91;NA;NA;NA;NA;NA;NA;NA;NA;77,92712924;52,61310117;63,69644886;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/91;NA;NA;NA;NA;NA;NA;NA;NA;78,78406107;53,1563963;67,24285323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/91;NA;NA;NA;NA;NA;NA;NA;NA;78,88042382;53,33100465;64,46977358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/91;NA;NA;NA;NA;NA;NA;NA;NA;78,64488136;50,12801949;62,83778268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/91;NA;NA;NA;NA;NA;NA;NA;NA;77,53120783;50,38291646;64,29563891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/91;NA;NA;NA;NA;NA;NA;NA;NA;76,77608612;47,23379896;62,43237319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/91;NA;NA;NA;NA;NA;NA;NA;NA;74,61684007;46,30107828;59,96387145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/91;NA;NA;NA;NA;NA;NA;NA;NA;75,05502381;46,31190987;57,84447535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/92;NA;NA;NA;NA;NA;NA;NA;NA;75,70933341;44,32052486;59,91005284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/92;NA;NA;NA;NA;NA;NA;NA;NA;75,87981557;48,29745852;62,48246323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/92;NA;NA;NA;NA;NA;NA;NA;NA;75,53928363;49,30651399;61,95766582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/92;NA;NA;NA;NA;NA;NA;NA;NA;76,68877108;50,34937916;63,46053254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/92;NA;NA;NA;NA;NA;NA;NA;NA;76,95550599;50,0384416;63,26328342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/92;NA;NA;NA;NA;14,12250628;20,50370893;72,55248032;NA;76,65832943;48,00365583;62,7108477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/92;NA;NA;NA;NA;13,94138312;20,78009794;73,62655231;NA;76,74349352;47,89658869;62,73367514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/92;NA;NA;NA;NA;13,43933038;19,38683494;75,09654048;NA;77,05491726;49,50501951;64,29028644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/92;NA;NA;NA;NA;13,89679166;21,08611979;75,59064624;NA;77,71989805;48,33515758;63,62245971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/92;NA;NA;NA;NA;14,05755023;21,62566636;75,51579781;NA;77,48211637;49,01891945;63,24599869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/92;NA;NA;NA;NA;14,35786591;22,27085118;76,07003255;NA;76,54384818;47,21419328;63,82369004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/92;NA;NA;NA;NA;13,85361014;23,63522028;77,11826497;NA;78,18877426;50,22815212;65,43342486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/93;NA;NA;NA;NA;14,02745183;23,34119318;78,23291801;NA;79,5674517;50,47034278;68,10347995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/93;NA;NA;NA;NA;13,8401303;24,59978049;79,41418825;NA;80,4636706;54,38326607;68,3289881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/93;NA;NA;NA;NA;13,46728136;23,37945859;79,50397323;NA;80,16558053;54,60036916;68,77612782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/93;NA;NA;NA;NA;13,05820386;24,06928949;78,65545802;NA;80,25857385;52,77165959;67,5373024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/93;NA;NA;NA;NA;12,47703174;24,15417614;80,30267681;NA;79,62389515;52,97506061;67,49882153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/93;NA;NA;NA;NA;12,0123147;24,61265635;81,12818947;NA;80,10661172;53,50239381;67,93709804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/93;NA;NA;NA;NA;11,82624736;24,91430244;81,90575159;NA;80,80776936;54,66201731;68,67523376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/93;NA;NA;NA;NA;11,83333388;25,39804715;80,51993563;NA;80,0218946;58,60898587;69,00311023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/93;NA;NA;NA;NA;11,86663985;26,19668064;81,26708762;NA;79,99671774;53,13375301;67,46947962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/93;NA;NA;NA;NA;11,53668706;25,64960933;79,82023141;NA;80,58922433;53,14920407;68,16948978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/93;NA;NA;NA;NA;11,1120248;25,16407015;80,46207468;NA;79,92567788;53,99571759;68,76508341;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/93;NA;NA;NA;NA;11,25383931;24,60147978;79,91078099;NA;80,1813596;52,36880574;68,7940153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/94;NA;NA;NA;NA;10,92654203;24,2099766;80,68133342;NA;80,31335173;57,51656126;70,62329954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/94;NA;NA;NA;NA;11,39657204;24,60611461;79,72216468;NA;78,11441405;50,64671809;67,7624495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/94;NA;NA;NA;NA;11,08380839;26,34976066;80,52422945;NA;79,24072794;49,48670701;67,0633275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/94;NA;NA;NA;NA;11,45160261;27,18796036;78,14383231;NA;78,55861983;50,96914575;68,00413173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/94;NA;NA;NA;NA;11,77462686;28,33697294;77,00415855;NA;78,6725096;52,06921425;69,04545392;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/94;NA;NA;NA;NA;12,01341027;26,71498525;73,7699975;NA;79,30483799;54,06762848;70,84514405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
