date;month;quarter;year;s_1001;s_1002;s_1003;s_1004;s_1005;s_1006;s_1007;s_1008;s_1009;s_1010;s_1011;s_1012;s_1013;s_1014;s_1015;s_1016;s_1017;s_1018;s_1019;s_1020;s_1021;s_1022;s_1023;s_1024;s_1025;s_1026;s_1027;s_1028;s_1029;s_1030;s_1031;s_1032;s_1033;s_1034;s_1035;s_1036;s_1037
01/jan/91;1;1;1991;;;;;;;;;71,59686207;40,51713859;52,52295093;;;;;;;;;;;;;;;;;;;;;;;;;;
01/fev/91;2;1;1991;;;;;;;;;71,70772238;35,97445946;49,3106847;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mar/91;3;1;1991;;;;;;;;;75,4681758;42,45678678;56,20403131;;;;;;;;;;;;;;;;;;;;;;;;;;
01/abr/91;4;2;1991;;;;;;;;;77,61540691;56,70793288;65,00339438;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mai/91;5;2;1991;;;;;;;;;78,81537721;59,51049237;68,71820132;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jun/91;6;2;1991;;;;;;;;;78,99871156;52,54977148;66,58448045;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jul/91;7;3;1991;;;;;;;;;79,30080339;55,5004871;67,67804224;;;;;;;;;;;;;;;;;;;;;;;;;;
01/ago/91;8;3;1991;;;;;;;;;78,72081108;50,31201785;64,17245009;;;;;;;;;;;;;;;;;;;;;;;;;;
01/set/91;9;3;1991;;;;;;;;;77,38099085;48,90766061;64,73902168;;;;;;;;;;;;;;;;;;;;;;;;;;
01/out/91;10;4;1991;;;;;;;;;77,67678493;48,21946401;64,42878324;;;;;;;;;;;;;;;;;;;;;;;;;;
01/nov/91;11;4;1991;;;;;;;;;75,3249271;43,87994827;59,07046583;;;;;;;;;;;;;;;;;;;;;;;;;;
01/dez/91;12;4;1991;;;;;;;;;73,44759935;43,44837146;54,98263929;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jan/92;1;1;1992;;;;;;;;;74,76512756;41,78380805;56,93074088;;;;;;;;;;;;;;;;;;;;;;;;;;
01/fev/92;2;1;1992;;;;;;;;;74,53221096;43,06458069;56,81102779;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mar/92;3;1;1992;;;;;;;;;76,47531516;52,34035617;63,36206738;;;;;;;;;;;;;;;;;;;;;;;;;;
01/abr/92;4;2;1992;;;;;;;;;77,19795639;55,72027383;64,96353853;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mai/92;5;2;1992;;;;;;;;;77,42457524;53,58352032;65,82261097;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jun/92;6;2;1992;;;;;14,8;20;69,6;;77,23594279;49,89982686;64,47803976;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jul/92;7;3;1992;;;;;14,5;20;72;;77,04441137;49,68333572;65,85314282;;;;;;;;;;;;;;;;;;;;;;;;;;
01/ago/92;8;3;1992;;;;;14;19;72,4;;76,94194807;48,35182069;64,35624303;;;;;;;;;;;;;;;;;;;;;;;;;;
01/set/92;9;3;1992;;;;;14,3;21;74,2;;77,73676345;48,13586266;65,15758645;;;;;;;;;;;;;;;;;;;;;;;;;;
01/out/92;10;4;1992;;;;;14,5;22;76,5;;78,21579192;49,00769144;64,22704576;;;;;;;;;;;;;;;;;;;;;;;;;;
01/nov/92;11;4;1992;;;;;14,5;23;79,3;;77,28912375;45,15243347;63,15820751;;;;;;;;;;;;;;;;;;;;;;;;;;
01/dez/92;12;4;1992;;;;;13,2;24;80,5;;76,85967753;48,48878151;63,80153223;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jan/93;1;1;1993;;;;;12,7;24;80,8;;78,25817674;45,49987583;62,72282936;;;;;;;;;;;;;;;;;;;;;;;;;;
01/fev/93;2;1;1993;;;;;12,6;25;80,5;;78,80318158;47,81095632;61,98101609;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mar/93;3;1;1993;;;;;13,2;24;79;;81,39455364;59,28765237;71,55743986;;;;;;;;;;;;;;;;;;;;;;;;;;
01/abr/93;4;2;1993;;;;;13,3;24;77,6;;80,65681782;57,92575007;68,79478125;;;;;;;;;;;;;;;;;;;;;;;;;;
01/mai/93;5;2;1993;;;;;12,9;23;78,9;;80,0377395;56,18601815;69,84017287;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jun/93;6;2;1993;;;;;12,6;24;78,4;;80,57524703;55,40549658;69,79450329;;;;;;;;;;;;;;;;;;;;;;;;;;
01/jul/93;7;3;1993;;;;;12,3;24;80,4;;80,71249788;55,00547019;70,46400626;;;;;;;;;;;;;;;;;;;;;;;;;;
01/ago/93;8;3;1993;;;;;12,3;25;78;;80,12980653;58,64268615;70,20151084;;;;;;;;;;;;;;;;;;;;;;;;;;
01/set/93;9;3;1993;;;;;12,2;26;80,1;;80,01724684;52,96569424;68,75278865;;;;;;;;;;;;;;;;;;;;;;;;;;
