CodVar;DescVar
s_1001;PIM RS - Indústria geral
s_1002;PMC RS - Varejo ampliado
s_1003;PMS RS - Índice de volume de serviços
s_1004;IBCR-RS - Bacen
s_1005;PED - Taxa de desemprego - Total - RMPA
s_1006;PED - Tempo médio dispendido pelos desempregados na procura de trabalho -RMPA
s_1007;PED - Ocupados - Massa de rendimentos reais
s_1008;FIERGS - ICEI - Indústria de Transformação
s_1009;FIERGS - IDI - Utilização da Capacidade Instalada (UCI)
s_1010;FIERGS - IDI - Compras
s_1011;FIERGS - IDI - Total
s_1012;FEEDADOS - Arrecadação de ICMS - TOTAL
s_1013;SISEXP - Índice de volume das exportações do RS
s_1014;FECOMERCIO RS - ICF
s_1015;Bacen - Saldo das operações de crédito - RS - Total
s_1016;Bacen - Inadimplências nas operações de crédito - RS - Total
s_1017;ALPHAPLAN - IEMI - Índice Geral de Expectativa
